case_id,cand_name,amp,pw,Ea_mean,Ea_sigma,delay,P0,Vth0,dV1,dV100,gradual,dP1,dP100,valid_ratio,elapsed_s
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_1p0em07,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,1e-07,0.330000000000015,0.589332101040101,0.0257369583953616,0.138807342087012,0.11307038369165,-0.0800000000000035,-0.430000000000019,1,37.0375506
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_3p0em07,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,3e-07,0.330000000000015,0.589332101040101,0.0241742043162253,0.151396258081852,0.127222053765626,-0.0750000000000032,-0.470000000000021,1,29.6226649
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_1p0em06,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,1e-06,0.350000000000016,0.582658549694868,0.0437458012488453,0.15343105299806,0.109685251749214,-0.135000000000006,-0.475000000000021,1,38.1589131
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_3p0em06,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,3e-06,0.340000000000015,0.586037852342192,0.03057414391928,0.137081931893091,0.106507787973811,-0.0950000000000042,-0.425000000000019,1,44.3377074
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_1p0em05,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,1e-05,0.330000000000014,0.589332101040101,0.0353980368299384,0.145207860299945,0.109809823470007,-0.110000000000005,-0.45000000000002,1,71.5473512
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_3p0em05,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,3e-05,0.350000000000016,0.582658549694868,0.0420715881751715,0.15343105299806,0.111359464822888,-0.130000000000006,-0.475000000000022,1,181.2847063
cand1_A2p20_PW0p20us_Em1p00_Es0p20_delay_1p0em04,cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,0.0001,0.320000000000014,0.592543169847337,0.0209631355089892,0.14354643284559,0.122583297336601,-0.0650000000000026,-0.44500000000002,1,476.7191375
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_1p0em07,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,1e-07,0.325000000000015,0.590947907546351,0.0496936438417207,0.151505141836287,0.101811497994566,-0.155000000000007,-0.470000000000021,1,50.3968165
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_3p0em07,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,3e-07,0.345000000000015,0.58435894171911,0.0613950022539066,0.164777869763605,0.103382867509698,-0.190000000000008,-0.510000000000023,1,61.7731135
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_1p0em06,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,1e-06,0.345000000000015,0.58435894171911,0.06949288480725,0.151730660973817,0.0822377761665672,-0.21500000000001,-0.470000000000021,1,50.0867343
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_3p0em06,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,3e-06,0.320000000000014,0.592543169847338,0.0548720176612069,0.151612863144055,0.0967408454828477,-0.170000000000008,-0.470000000000021,1,53.8438471
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_1p0em05,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,1e-05,0.335000000000015,0.587695496234624,0.0498480892374999,0.143685145846306,0.0938370566088059,-0.155000000000007,-0.44500000000002,1,79.2648144
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_3p0em05,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,3e-05,0.315000000000014,0.594118155496396,0.0549371968385756,0.145012186582937,0.0900749897443619,-0.170000000000008,-0.45000000000002,1,145.7347617
cand2_A2p20_PW0p50us_Em1p00_Es0p20_delay_1p0em04,cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,0.0001,0.335000000000015,0.587695496234624,0.058058447738393,0.163059604397834,0.105001156659441,-0.180000000000008,-0.505000000000023,1,410.8012649
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_1p0em07,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,1e-07,0.335000000000015,0.587695496234624,0.104926902183896,0.206579053316778,0.101652151132882,-0.325000000000014,-0.640000000000028,1,29.3040562
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_3p0em07,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,3e-07,0.320000000000014,0.592543169847338,0.100079228571183,0.203284386299273,0.10320515772809,-0.310000000000014,-0.630000000000029,1,31.050474
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_1p0em06,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,1e-06,0.290000000000013,0.601989530261943,0.0952951577539068,0.203563637156622,0.108268479402715,-0.295000000000013,-0.630000000000029,1,32.7907868
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_3p0em06,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,3e-06,0.325000000000014,0.590947907546352,0.10008024887068,0.204879648600259,0.104799399729579,-0.310000000000013,-0.635000000000028,1,40.6971151
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_1p0em05,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,1e-05,0.305000000000014,0.59720843520026,0.0969879423014146,0.20166643322015,0.104678490918736,-0.300000000000013,-0.625000000000028,1,66.3336842
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_3p0em05,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,3e-05,0.280000000000013,0.60538561899397,0.0934140054830577,0.198482429725673,0.105068424242615,-0.290000000000013,-0.615000000000028,1,135.8472972
cand3_A2p20_PW0p20us_Em0p95_Es0p20_delay_1p0em04,cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,0.0001,0.305000000000014,0.59720843520026,0.0905693890049507,0.213273014987004,0.122703625982053,-0.280000000000013,-0.66000000000003,1,430.496939
